id,text
1,I can't sleep and my mind is racing with dark thoughts.
2,Everything feels normal and I enjoyed my lunch.
3,"I have sudden mood swings, very high then very low."
4,"Constant worry about everything, heart is pounding."
5,I want to disappear. No point in living.
6,"Feeling okay, got some work done today."
7,"Crying a lot lately, heavy sadness all day."
8,"My thoughts jump quickly, can’t focus, too much energy."
9,"Nervous in social situations, sweaty palms, shaky."
10,"Went for a walk, felt calm and relaxed."
